Fund,Fund Manager,Category,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,classification
Axis Credit Risk Fund Reg(G),Devang Shah,DT-CR,1.26,0.94,0.44,0.6,0.44,0.78,0.79,0.74,0.36,0.17,Debt : Credit Risk
Axis CRISIL IBX 50:50 Gilt Plus SDL June 2028 Index Fund Reg(G),Hardik Shah,DT-M&LD,1.7,1.25,0.12,0.52,-0.46,0.9,0.74,0.5,0.51,0.16,Debt : Medium to Long Duration
Axis CRISIL IBX 50:50 Gilt Plus SDL Sep 2027 Index Fund Reg(G),Aditya Pagaria,DT-M&LD,1.45,1.08,0.25,0.6,0.09,0.59,0.57,0.56,0.33,0.38,Debt : Medium to Long Duration
Axis CRISIL IBX SDL June 2034 Debt Index Fund Reg(G),Hardik Shah,DT-LD,2.43,0.71,-0.1,-0.34,-1.79,0.65,1.12,0.53,-0.58,0.44,Debt : Long Duration
Axis CRISIL IBX SDL May 2027 Index Fund Reg(G),Hardik Shah,DT-M&LD,1.35,1.04,0.28,0.61,0.12,0.55,0.69,0.49,0.41,0.45,Debt : Medium to Long Duration
Axis CRISIL IBX AAA Bond Financial Services   Sep 2027 Index Fund Reg(G),Aditya Pagaria,DT-M&LD,1.3,1.01,0.47,0.66,0.42,0.55,0.63,0.59,0.28,0.1,Debt : Medium to Long Duration
Axis CRISIL IBX AAA Bond NBFC   Jun 2027 Index Fund Reg(G),Aditya Pagaria,DT-M&LD,1.18,0.8,0.58,0.68,0.49,0.55,0.57,0.61,0.3,0.18,Debt : Medium to Long Duration
Axis CRISIL IBX AAA Bond NBFC HFC   Jun 2027 Index Fund Reg(G),Aditya Pagaria,DT-SD,1.13,0.92,0.54,0.7,0.47,0.58,0.58,0.57,0.33,0.23,Debt : Short Duration
Axis CRISIL IBX Financial Services 3 6 Months Debt Index Fund Reg(G),Aditya Pagaria,DT-USD,-,-,-,-,-,-,0.51,0.54,0.49,0.27,Debt : Ultra Short Duration
Axis Dynamic Bond Fund Reg(G),Devang Shah,DT-DYN,2.08,0.62,-0.49,0.39,-0.86,0.81,1.03,0.4,0.24,-0.07,Debt : Dynamic Bond
Axis ELSS Tax Saver Fund Reg(G),Shreyash Devalkar,EQ-ELSS,3.03,2.16,3.4,-2.1,-1.27,0.12,3.46,0.6,-1.48,-2.83,Equity : Tax Saving (ELSS)
Axis Equity Savings Fund Reg(G),Mayank Hyanki,HY-EQ,1.73,0.92,0.96,-0.36,-0.27,0.59,1.76,1.07,-0.13,-0.97,Hybrid : Equity Oriented
Axis ESG Integration Strategy Fund Reg(G),Vishal Agarwal,EQ-THEM,2.29,2.04,3.33,-2.12,-1.84,0.62,3.57,1.33,-0.45,-2.87,Equity : Thematic
Axis Flexi Cap Fund Reg(G),Sachin Relekar,EQ-FLEX,2.7,4.19,4.02,-1.51,-2.24,0.99,3.07,-0.15,-2.32,-2.45,Equity : Flexi Cap
Axis Floater Fund Reg(G),Aditya Pagaria,DT-FL,1.99,0.62,-0.46,0.44,-0.85,1.06,0.82,0.4,0.44,0.08,Debt : Floater
Axis Focused Fund Reg(G),Sachin Relekar,EQ-MLC,3.21,2.88,3.87,-2.42,-1.86,0.43,3.4,-0.05,-2.79,-3.64,Equity : Multi Cap
Axis FTP 112 1143D Reg(G),Sachin Jain,DT-FMP,1.02,0.72,0.45,0.49,0.39,0.39,0.48,0.45,0.45,0.43,Debt : FTP/FMP
Axis FTP 113 1228D Reg(G),Sachin Jain,DT-FMP,0.94,0.72,0.6,0.55,0.46,0.49,0.49,0.49,0.47,0.37,Debt : FTP/FMP
Axis Gilt Fund Reg(G),Devang Shah,DT-GILT,2.24,0.22,-1.18,0.23,-1.68,1.42,0.57,-0.01,0.43,-0.01,Debt : Gilt
Axis Global Equity Alpha FoF Reg(G),Krishnaa N,FOF-OVR,1.17,8.53,5.28,4.27,0.44,3.39,1.84,0.9,1.5,3.49,FoFs : Overseas
Axis Global Innovation FoF Reg(G),Krishnaa N,FOF-OVR,1.73,9.72,6.13,4.94,0.27,3.57,4.21,-2.94,1.32,2.18,FoFs : Overseas
Axis Gold and Silver Passive FoF Reg(G),Pratik Tibrewal,GOLD-MF,-,-,-,-,-,-,-,-,-,22.48,Gold : MFs
Axis Gold ETF,Aditya Pagaria,GOLD-ETF,3.92,1.35,0.39,2.41,3.94,12.21,4.84,4.45,5.19,23.6,Gold : ETFs
Axis Gold Fund Reg(G),Aditya Pagaria,GOLD-MF,6.42,0.54,0.59,2.62,3.84,12.45,4.2,4.25,5.07,17.58,Gold : MFs
Axis Greater China Equity FoF Reg(G),Krishnaa N,FOF-OVR,-3.2,5.38,4.84,7.49,6.04,10.84,-1.48,-1.3,1.42,10.02,FoFs : Overseas
Axis Income Plus Arbitrage Active FOF Reg(G),Devang Shah,FOF-DOM,1.46,0.78,0.24,0.55,0.06,0.52,0.71,0.51,0.29,0.26,FoFs : Domestic
Axis Income Plus Arbitrage Passive FOF Reg(G),Devang Shah,FOF-DOM,-,-,-,-,-,-,-,-,0.44,0.33,FoFs : Domestic
Axis India Manufacturing Fund Reg(G),Nitin Arora,EQ-THEM,2.56,5.23,2.45,-0.36,-1.45,2.95,2.44,-0.35,-0.77,-2.97,Equity : Thematic
Axis Innovation Fund Reg(G),Ashish Naik,EQ-THEM,3.25,5.6,3.31,-0.59,-0.86,1.14,3,-0.05,-1.04,-3.84,Equity : Thematic
Axis Large & Mid Cap Fund Reg(G),Shreyash Devalkar,EQ-L&M,2.8,4.16,3.9,-1.64,-1.26,0.87,3.37,0.75,-1.01,-2.16,Equity : Large & Mid Cap
Axis Large Cap Fund Reg(G),Shreyash Devalkar,EQ-LC,2.88,1.17,3.39,-2.4,-0.95,0.49,3.24,1.28,-0.91,-2.81,Equity : Large Cap
Axis Liquid Fund Reg(G),Devang Shah,DT-LIQ,0.59,0.56,0.51,0.48,0.47,0.47,0.48,0.48,0.5,0.45,Debt : Liquid
Axis Long Duration Fund Reg(G),Devang Shah,DT-LD,2.19,-0.01,-2.43,0.55,-2.68,1.86,0.07,-0.35,0.96,-0.36,Debt : Long Duration
Axis Midcap Fund Reg(G),Shreyash Devalkar,EQ-MID,2.45,6.06,4.99,-2.28,-1.29,0.11,2.86,0.24,-1.66,-2.63,Equity : Mid Cap
Axis Momentum Fund Reg(G),Karthik Kumar,EQ-THEM,4.07,3.22,5.23,-2.12,-4.86,0.57,5.2,0.97,-0.64,-4.28,Equity : Thematic
Axis Money Market Fund Reg(G),Devang Shah,DT-MM,0.87,0.69,0.61,0.57,0.46,0.48,0.5,0.51,0.47,0.34,Debt : Money Market
Axis Multi Asset Allocation Fund Reg(G),Ashish Naik,HY-MULTI,2.03,2.36,2.08,-0.32,0.26,3.18,3.19,1.85,1.48,2.72,Hybrid : Multi Asset Allocation
Axis Multi Factor Passive FoF Reg(G),Karthik Kumar,EQ-ETF,2.23,2.96,3.54,-3.36,-0.19,1.27,4.22,1.2,0.04,-1.28,Equity : ETFs
Axis Multi Asset Active FoF Reg(G),Devang Shah,FOF-DOM,-,-,-,-,-,-,-,-,-,2.64,FoFs : Domestic
Axis Multicap Fund Reg(G),Shreyash Devalkar,EQ-MLC,1.41,5.28,3.92,-1.61,-1.58,1.2,3.56,-0.16,-1.09,-2.93,Equity : Multi Cap
Axis NASDAQ 100 US Specific Equity Passive FOF Reg(G),Krishnaa N,FOF-OVR,0.71,10.25,6.31,5.84,0.26,5.93,5.2,-1.26,0.8,3.14,FoFs : Overseas
Axis Nifty 100 Index Fund Reg(G),Karthik Kumar,EQ-INDX,3.23,2.11,3.3,-2.81,-1.39,1.1,4.26,1.37,-0.26,-2.97,Equity : Index Funds
Axis NIFTY 50 ETF,Karthik Kumar,EQ-ETF,3.47,1.92,3.35,-2.76,-1.21,0.76,4.61,1.9,-0.28,-3.04,Equity : ETFs
Axis Nifty 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,3.43,1.88,3.32,-2.8,-1.25,0.73,4.57,1.87,-0.32,-3.07,Equity : Index Funds
Axis Nifty 500 Index Fund Reg(G),Karthik Kumar,EQ-INDX,3.13,3.62,3.68,-2.92,-1.9,1.15,4.28,0.91,-0.35,-3.36,Equity : Index Funds
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,Aditya Pagaria,DT-ETF,0.8,0.68,0.56,0.51,0.44,0.48,0.47,0.47,0.47,0.41,Debt : ETFs
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF Reg(G),Aditya Pagaria,DT-M&LD,1.27,0.7,0.38,0.69,0.68,-0.02,0.68,0.22,0.29,0.48,Debt : Medium to Long Duration
Axis NIFTY Bank ETF,Karthik Kumar,EQ-ETF,6.81,1.35,3.09,-2.25,-3.92,1.8,5.73,3.4,-0.32,0.02,Equity : ETFs
Axis Nifty Bank Index Fund Reg(G),Karthik Kumar,EQ-INDX,6.73,1.28,3.02,-2.32,-3.99,1.74,5.65,3.33,-0.39,-0.05,Equity : Index Funds
Axis NIFTY Healthcare ETF,Karthik Kumar,EQ-ETF,2.7,-1.19,4.2,3.1,-3.55,-1.5,3.9,2.28,-2.63,-5.12,Equity : ETFs
Axis NIFTY India Consumption ETF,Karthik Kumar,EQ-ETF,5.54,0.78,4.11,-0.68,2.85,-0.01,2.89,0.49,-1.49,-6.69,Equity : ETFs
Axis NIFTY IT ETF,Karthik Kumar,EQ-ETF,-2.86,4.7,4.51,-9.05,-0.36,-4.36,6.87,4.75,1.26,0.88,Equity : ETFs
Axis NIFTY IT Index Fund Reg(G),Karthik Kumar,EQ-INDX,-2.95,4.62,4.45,-9.12,-0.42,-4.43,6.8,4.73,1.17,0.81,Equity : Index Funds
Axis Nifty Midcap 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,5.12,4.5,5.24,-3.75,-3.07,1.32,6.57,2.49,-1.06,-3.31,Equity : Index Funds
Axis Nifty Next 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,2.22,3.44,3.36,-2.69,-1.87,3.08,2.88,-0.98,0.25,-2.26,Equity : Index Funds
Axis Nifty SDL Sep 2026 Debt Index Fund Reg(G),Aditya Pagaria,DT-MD,1.05,0.95,0.37,0.6,0.21,0.59,0.55,0.49,0.44,0.42,Debt : Medium Duration
Axis Nifty Smallcap 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,2.75,7.75,7.28,-5.56,-4.64,1.5,5.28,-1.66,-1.16,-4.88,Equity : Index Funds
Axis Nifty500 Momentum 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,4.2,5.31,5.17,-6.11,-3.42,0.59,5.64,2.33,-4.07,-3.72,Equity : Index Funds
Axis Nifty500 Quality 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,-,-,-,-,-,-,3.83,-1.29,-1.84,-1.45,Equity : Index Funds
Axis Nifty500 Value 50 ETF,Karthik Kumar,EQ-ETF,1,2.97,4.13,-3.44,-1.7,6.61,4.73,-0.94,3.66,2.82,Equity : ETFs
Axis Nifty500 Value 50 Index Fund Reg(G),Karthik Kumar,EQ-INDX,0.93,2.9,3.89,-3.53,-1.78,6.54,4.63,-1,3.59,2.74,Equity : Index Funds
Axis Overnight Fund Reg(G),Sachin Jain,DT-ON,0.49,0.49,0.44,0.45,0.45,0.44,0.46,0.43,0.44,0.45,Debt : Overnight
Axis Quant Fund Reg(G),Karthik Kumar,EQ-THEM,3.34,2.05,4.46,-2.85,-3.31,1.19,2.87,2.34,0.87,-3.44,Equity : Thematic
Axis Retirement Fund Aggressive Plan Reg(G),Jayesh Sundar,HY-SOL,2.74,2.78,1.84,-2.18,-2.39,1.11,3.47,0.32,-0.74,-2.67,Hybrid : Solution Oriented
Axis Retirement Fund Conservative Plan Reg(G),Jayesh Sundar,HY-SOL,2.98,0.81,-0.04,-0.84,-1.54,1.04,1.82,1.27,-0.01,-1.36,Hybrid : Solution Oriented
Axis Retirement Fund Dynamic Plan Reg(G),Jayesh Sundar,HY-SOL,2.49,3.06,2.1,-1.65,-2.55,1.31,3.36,0.3,-0.9,-3.42,Hybrid : Solution Oriented
Axis Services Opportunities Fund Reg(G),Sachin Relekar,EQ-THEM,-,-,-,-,-1.71,0.1,3.37,0.79,-2.94,-4.75,Equity : Thematic
Axis Short Duration Fund Reg(G),Devang Shah,DT-SD,1.42,1.02,0.29,0.62,0.08,0.6,0.73,0.56,0.15,0.03,Debt : Short Duration
Axis Silver ETF,Aditya Pagaria,GOLD-ETF,-5.86,3.44,8.39,3.93,6.64,20.21,4.64,10.01,39.07,45.09,Gold : ETFs
Axis Silver FoF Reg(G),Aditya Pagaria,GOLD-MF,-5.91,2.53,9.56,3.31,5.87,19.81,4.16,9.66,37.38,32.18,Gold : MFs
Axis Small Cap Fund Reg(G),Tejas Sheth,EQ-SML,1.71,7.01,4.47,-1.84,-3.07,0.79,3.62,-1.69,-1.32,-4.09,Equity : Small Cap
Axis Strategic Bond Fund Reg(G),Devang Shah,DT-MD,1.49,0.97,0.16,0.58,-0.01,0.75,0.79,0.61,0.26,0.13,Debt : Medium Duration
Axis Treasury Advantage Fund Reg(G),Devang Shah,DT-LOWD,0.93,0.77,0.56,0.6,0.4,0.52,0.57,0.55,0.38,0.26,Debt : Low Duration
Axis Ultra Short Duration Fund Reg(G),Sachin Jain,DT-USD,0.72,0.61,0.53,0.53,0.43,0.45,0.5,0.47,0.41,0.28,Debt : Ultra Short Duration
Axis Value Fund Reg(G),Nitin Arora,EQ-VAL,1.88,3.92,3.27,-1.61,-1.69,2.11,4.24,0.94,-0.21,-2.02,Equity : Value / Contra
Bajaj Finserv Arbitrage Fund Reg(G),Ilesh Savla,HY-ARB,0.58,0.33,0.51,0.47,0.41,0.33,0.51,0.49,0.54,0.56,Hybrid : Arbitrage
Bajaj Finserv Balanced Advantage Fund Reg(G),Nimesh Chandan,HY-DYN,2.84,1.99,2.79,-2.73,-1.61,0.8,4.38,1.89,-0.85,-1.8,Hybrid : Dynamic Asset Allocation
Bajaj Finserv Banking and Financial Services Fund Reg(G),Nimesh Chandan,EQ-FIN,-,-,-,-,-,-,-,-,-,-0.42,Equity : Sectoral - Financial Services
Bajaj Finserv Banking and PSU Fund Reg(G),Siddharth Chaudhary,DT-B&PSU,1.52,1.29,-0.22,0.63,-0.29,0.62,0.82,0.5,-0.04,-0.17,Debt : Banking & PSU
Bajaj Finserv Consumption Fund Reg(G),Sorbh Gupta,EQ-CONS,4.57,1.38,2.14,-0.59,0.48,0.17,2.74,-2.33,-2.36,-6.93,Equity : Thematic - Consumption
Bajaj Finserv ELSS Tax Saver Fund Reg(G),Nimesh Chandan,EQ-ELSS,2.8,2.42,3.49,-2.99,-1.93,0.75,5.69,-0.6,-0.57,-3.26,Equity : Tax Saving (ELSS)
Bajaj Finserv Equity Savings Fund Reg(G),Sorbh Gupta,HY-EQ,-,-,-,-,-,-0.12,0.65,0.48,0.49,-0.07,Hybrid : Equity Oriented
Bajaj Finserv Flexi Cap Fund Reg(G),Nimesh Chandan,EQ-FLEX,3.58,5.51,4.42,-1.5,-1.96,0.91,4.44,0.72,-1.69,-2.83,Equity : Flexi Cap
Bajaj Finserv Gilt Fund Reg(G),Siddharth Chaudhary,DT-GILT,1.99,0.29,-1.7,0.28,-2.17,1.22,0.13,0.16,-0.18,-0.26,Debt : Gilt
Bajaj Finserv Healthcare Fund Reg(G),Nimesh Chandan,EQ-PHRM,1.6,2.06,2.96,2.54,-3.08,-1.84,3.89,0.97,-2.86,-4.81,Equity : Sectoral - Pharma
Bajaj Finserv Large and Mid Cap Fund Reg(G),Nimesh Chandan,EQ-L&M,2.76,3.84,4.47,-3.13,-2.26,0.1,4.38,1.81,-0.12,-3.56,Equity : Large & Mid Cap
Bajaj Finserv Large Cap Fund Reg(G),Nimesh Chandan,EQ-LC,2.67,2.72,3.42,-3.4,-1.21,1.14,4.58,1.87,-0.59,-2.18,Equity : Large Cap
Bajaj Finserv Liquid Fund Reg(G),Siddharth Chaudhary,DT-LIQ,0.58,0.54,0.51,0.47,0.46,0.46,0.47,0.47,0.49,0.43,Debt : Liquid
Bajaj Finserv Money Market Fund Reg(G),Siddharth Chaudhary,DT-MM,0.82,0.63,0.61,0.52,0.38,0.47,0.46,0.44,0.45,0.29,Debt : Money Market
Bajaj Finserv Multi Asset Allocation Fund Reg(G),Sorbh Gupta,HY-MULTI,1.83,1.75,3.29,-1.67,-1.04,3.53,4.6,2.26,2.52,2.49,Hybrid : Multi Asset Allocation
Bajaj Finserv Multi Cap Fund Reg(G),Nimesh Chandan,EQ-MLC,2.68,3.87,4.14,-2.97,-2.9,0.33,4.53,0.82,0.17,-2.53,Equity : Multi Cap
Bajaj Finserv Nifty 1D Rate Liquid ETF(G),Siddharth Chaudhary,DT-ETF,0.45,0.46,0.41,0.42,0.43,0.41,0.42,0.4,0.41,0.41,Debt : ETFs
Bajaj Finserv Nifty 50 ETF,Ilesh Savla,EQ-ETF,3.48,1.92,3.35,-2.77,-1.21,0.79,4.61,1.9,-0.29,-3.05,Equity : ETFs
Bajaj Finserv Nifty 50 Index Fund Reg(G),Ilesh Savla,EQ-INDX,-,-,3.27,-2.84,-1.28,0.72,4.53,1.73,-0.73,-3.09,Equity : Index Funds
Bajaj Finserv Nifty Bank ETF,Ilesh Savla,EQ-ETF,6.82,1.36,3.09,-2.26,-3.91,1.81,5.74,3.41,-0.31,0.03,Equity : ETFs
Bajaj Finserv Nifty Next 50 Index Fund Reg(G),Ilesh Savla,HY-MULTI,-,-,3.23,-2.7,-1.86,3.16,2.88,-1.04,0.14,-2.3,Hybrid : Multi Asset Allocation
Bajaj Finserv Overnight Fund Reg(G),Siddharth Chaudhary,DT-ON,0.48,0.49,0.43,0.45,0.45,0.44,0.46,0.46,0.44,0.45,Debt : Overnight
Bajaj Finserv Small Cap Fund Reg(G),Nimesh Chandan,EQ-SML,-,-,-,-,-4.98,1.15,4.78,-2.75,-0.31,-4.74,Equity : Small Cap
Bandhan Aggressive Hybrid Fund Reg(G),Prateek Poddar,HY-EQ,1.56,3.11,2.86,0.15,-1.05,1.14,4.14,0.41,-0.28,-2.1,Hybrid : Equity Oriented
Bandhan Aggressive Hybrid Passive FOF Reg(G),Viraj Kulkarni,FOF-DOM,2.38,1.77,2.37,-0.43,-1.23,0.58,3.54,0.87,-0.32,-2.66,FoFs : Domestic
Bandhan Arbitrage Fund Reg(G),Kapil Kankonkar,HY-ARB,0.67,0.37,0.51,0.5,0.35,0.35,0.49,0.49,0.55,0.51,Hybrid : Arbitrage
Bandhan Balanced Advantage Fund Reg(G),Manish Gunwani,HY-DYN,1.99,1.56,1.73,-0.42,-1.06,0.62,2.43,1.01,0.13,-1.88,Hybrid : Dynamic Asset Allocation
Bandhan Banking and PSU Fund Reg(G),Suyash Choudhary,DT-B&PSU,1.25,0.93,0.24,0.47,-0.05,0.6,0.63,0.48,0.18,0.03,Debt : Banking & PSU
Bandhan BSE Healthcare Index Fund Reg(G),Abhishek Jain,EQ-INDX,1.85,0.86,3.86,2.62,-3.9,-1.34,3.29,0.72,-2.51,-5.71,Equity : Index Funds
Bandhan BSE India Sector Leaders Index Fund Reg(G),Abhishek Jain,EQ-INDX,-,-,-,-,-,-,4.22,0.37,-0.47,-4.03,Equity : Index Funds
Bandhan BSE Sensex ETF,Abhishek Jain,EQ-ETF,3.65,1.71,2.93,-2.78,-1.58,0.56,4.66,2.12,-0.61,-3.47,Equity : ETFs
Bandhan Business Cycle Fund Reg(G),Vishal Biraia,EQ-THEM,1.98,4.3,4.19,-1.92,-2.54,1.95,3.52,-0.06,-0.21,-3.96,Equity : Thematic
Bandhan Conservative Hybrid Fund Reg(G),Viraj Kulkarni,HY-DT(CO),2.12,0.96,0.11,-0.81,-0.38,0.81,1.32,0.74,0.32,-0.71,Hybrid : Debt Oriented (Conservative)
Bandhan Conservative Hybrid Passive FOF Reg(G),Viraj Kulkarni,FOF-DOM,1.55,1.17,1.08,0.18,-0.37,0.58,1.52,0.65,0.15,-0.2,FoFs : Domestic
Bandhan Corp Bond Fund Reg(G),Suyash Choudhary,DT-CORP,1.38,1.07,0.15,0.54,-0.15,0.58,0.67,0.53,0.11,-0.04,Debt : Corporate Bond
Bandhan Credit Risk Fund Reg(G),Gautam Kaul,DT-CR,1.25,0.71,0.07,0.4,-0.15,0.63,0.49,0.49,0.21,-0.07,Debt : Credit Risk
Bandhan CRISIL IBX 90:10 SDL Plus Gilt   April 2032 Index Fund Reg(G),Gautam Kaul,DT-LD,2.06,1.44,-0.71,0.9,-1.54,0.71,0.67,0.55,-0.21,0.23,Debt : Long Duration
Bandhan CRISIL IBX 90:10 SDL Plus Gilt   Nov 2026 Index Fund Reg(G),Gautam Kaul,DT-M&LD,1.08,0.94,0.39,0.6,0.21,0.51,0.62,0.49,0.43,0.41,Debt : Medium to Long Duration
Bandhan CRISIL IBX 90:10 SDL Plus Gilt   Sep 2027 Index Fund Reg(G),Gautam Kaul,DT-GILT,1.48,1.15,0.2,0.66,0,0.55,0.68,0.53,0.33,0.38,Debt : Gilt
Bandhan CRISIL IBX Gilt April 2026 Index Fund Reg(G),Gautam Kaul,DT-GILT,0.84,0.67,0.46,0.47,0.4,0.42,0.43,0.46,0.43,0.44,Debt : Gilt
Bandhan CRISIL IBX Gilt April 2028 Index Fund Reg(G),Harshal Joshi,DT-GILT,1.39,1.13,0.18,0.52,0.14,0.63,0.6,0.5,0.38,0.44,Debt : Gilt
Bandhan CRISIL IBX Gilt April 2032 Index Fund Reg(G),Gautam Kaul,DT-LD,2.09,1.3,-0.58,0.6,-1.05,0.94,0.68,0.37,0.11,0.18,Debt : Long Duration
Bandhan CRISIL IBX Gilt June 2027 Index Fund Reg(G),Harshal Joshi,DT-GILT,1.25,1.03,0.3,0.56,0.21,0.6,0.49,0.58,0.33,0.39,Debt : Gilt
Bandhan CRISIL IBX 10:90 Gilt+SDL Index   Dec 2029 Fund Reg(G),Brijesh Shah,DT-M&LD,1.95,1.48,-0.11,0.67,-1.04,1.04,0.44,0.54,0.12,0.54,Debt : Medium to Long Duration
Bandhan CRISIL IBX Financial Services 3 6 Months Debt Index Fund Reg(G),Brijesh Shah,DT-USD,0.71,0.62,0.52,0.57,0.49,0.48,0.43,0.48,0.39,0.2,Debt : Ultra Short Duration
Bandhan Dynamic Bond Fund Reg(G),Suyash Choudhary,DT-DYN,1.99,0.02,-2.23,0.6,-2.37,1.71,0.59,0.5,0.05,0.02,Debt : Dynamic Bond
Bandhan ELSS Tax Saver Fund Reg(G),Daylynn Pinto,EQ-ELSS,3.29,2.45,2.95,-2.33,-1.1,0.81,4.07,1.72,0.29,-3.43,Equity : Tax Saving (ELSS)
Bandhan Equity Savings Fund Reg(G),Kapil Kankonkar,HY-EQ,1.09,0.65,0.57,0.36,0.21,0.22,0.73,0.66,0.41,-0.4,Hybrid : Equity Oriented
Bandhan Financial Services Fund Reg(G),Ritu Modi,EQ-FIN,4.46,3.04,3.79,-3.41,-2.89,1.83,4.35,2.89,-0.76,-1.68,Equity : Sectoral - Financial Services
Bandhan Flexi Cap Fund Reg(G),Manish Gunwani,EQ-FLEX,4.29,2.88,3.48,-1.99,-1.07,0.35,3.73,1.55,-0.43,-2.86,Equity : Flexi Cap
Bandhan Floater Fund Reg(G),Brijesh Shah,DT-FL,1.42,0.91,0.19,0.55,-0.09,0.66,0.72,0.56,0.15,0.01,Debt : Floater
Bandhan Focused Fund Reg(G),Manish Gunwani,EQ-MLC,3.72,3.28,4.09,-0.16,-4.03,1.65,4.89,-0.75,-1.93,-3.29,Equity : Multi Cap
Bandhan FTP 179 3652D Reg(G),Harshal Joshi,DT-FMP,1.88,1.38,-0.02,0.64,-0.99,0.99,0.73,0.7,0.28,0.32,Debt : FTP/FMP
Bandhan Gilt Fund with 10 year constant duration Fund Reg(G),Harshal Joshi,DT-GL10Y,2.22,0.99,-0.62,0.37,-1.28,1.05,0.68,0.81,0.01,0.11,Debt : Gilt (10 Yr Constant Duration)
Bandhan Gilt Fund Reg(G),Suyash Choudhary,DT-GILT,2.04,0.08,-2.21,0.64,-2.4,1.7,0.63,0.49,0.04,0.2,Debt : Gilt
Bandhan Healthcare Fund Reg(G),Viraj Kulkarni,EQ-PHRM,-,-,-,-,-,-,-,-,-2.14,-6.3,Equity : Sectoral - Pharma
Bandhan Income Plus Arbitrage Active FOF Reg(G),Harshal Joshi,FOF-DOM,1.12,0.82,0.3,0.54,0.07,0.5,0.61,0.53,0.3,0.2,FoFs : Domestic
Bandhan Infrastructure Fund Reg(G),Vishal Biraia,EQ-INFRA,1.71,8.01,3.37,-3.78,-3.29,1.1,2.18,-2.42,-1.47,-4.98,Equity : Sectoral - Infrastructure
Bandhan Innovation Fund Reg(G),Manish Gunwani,EQ-THEM,1.65,5.32,4.39,0.89,-0.85,1.21,5.25,-1.02,-1.12,-5.02,Equity : Thematic
Bandhan Large & Mid Cap Fund Reg(G),Manish Gunwani,EQ-L&M,2.79,4,3.21,-1.25,-1.24,1.7,4.34,1.21,-0.67,-3.17,Equity : Large & Mid Cap
Bandhan Large Cap Fund Reg(G),Manish Gunwani,EQ-LC,3.28,2.19,3.37,-0.98,-1.67,0.63,4.95,1.26,-0.52,-3.13,Equity : Large Cap
Bandhan Liquid Fund Reg(G),Harshal Joshi,DT-LIQ,0.58,0.55,0.49,0.48,0.46,0.46,0.48,0.47,0.5,0.43,Debt : Liquid
Bandhan Long Duration Fund Reg(G),Gautam Kaul,DT-LD,2.04,0.09,-2.16,0.53,-2.64,1.87,0.42,-0.3,0.68,-0.1,Debt : Long Duration
Bandhan Low Duration Fund Reg(G),Harshal Joshi,DT-LOWD,0.92,0.76,0.52,0.56,0.32,0.52,0.55,0.51,0.36,0.19,Debt : Low Duration
Bandhan Medium Duration Fund Reg(G),Suyash Choudhary,DT-MD,1.54,1.02,-0.15,0.39,-0.46,0.66,0.6,0.41,0.11,0.04,Debt : Medium Duration
Bandhan Medium to Long Duration Fund Reg(G),Suyash Choudhary,DT-LD,1.4,0.27,-1.01,0.5,-1.42,1.16,0.58,0.43,-0.07,-0.1,Debt : Long Duration
Bandhan Midcap Fund Reg(G),Ritu Modi,EQ-MID,2.37,6.7,4.65,-1.36,-0.94,0.24,3.5,-0.21,-2.48,-4.56,Equity : Mid Cap
Bandhan Money Market Fund Reg(G),Brijesh Shah,DT-MM,0.85,0.68,0.61,0.56,0.45,0.47,0.5,0.5,0.48,0.36,Debt : Money Market
Bandhan Multi Asset Allocation Fund Reg(G),Viraj Kulkarni,HY-MULTI,2.68,3.17,2.94,0.39,-0.42,2.93,2.7,1.61,2.98,2.67,Hybrid : Multi Asset Allocation
Bandhan Multi Cap Fund Reg(G),Daylynn Pinto,EQ-MLC,3.44,3.84,3.16,-1.81,-1.41,0.41,3.34,0.69,-0.03,-4.26,Equity : Multi Cap
Bandhan Multi Asset Passive FOF Reg(G),Viraj Kulkarni,FOF-DOM,2.12,1.6,1.89,-0.15,-1.05,0.65,2.65,0.68,-0.22,2.95,FoFs : Domestic
Bandhan Multi Factor Fund Reg(G),Rishi Sharma,EQ-THEM,-,-,-,-,-3.47,0.88,2.72,1.84,3.91,0.34,Equity : Thematic
Bandhan Nifty 100 Index Fund Reg(G),Abhishek Jain,EQ-INDX,3.22,2.13,3.33,-2.79,-1.36,1.12,4.28,1.39,-0.24,-2.95,Equity : Index Funds
Bandhan Nifty 200 Quality 30 Index Fund Reg(G),Abhishek Jain,EQ-INDX,3.06,3.88,2.46,-3.78,1.02,-0.27,3.75,1.19,0.26,-1.85,Equity : Index Funds
Bandhan Nifty 50 ETF,Abhishek Jain,EQ-ETF,3.48,1.92,3.35,-2.76,-1.21,0.75,4.61,1.9,-0.29,-3.04,Equity : ETFs
